icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,altitude_feet,speed_mph,flight_status,extracted_at_utc
a5f852,RTY484,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:07+00:00,-104.8427,40.6848,1927.86,False,39.35,348.69,-2.28,,2011.68,,False,0,6325.0,88.02,In Air,2026-07-22 17:18:27.830342+00:00
ad5612,N95897,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-121.8514,47.9692,2583.18,False,70.98,312.94,-1.3,,2651.76,1200,False,0,8475.0,158.78,In Air,2026-07-22 17:18:27.830342+00:00
a09283,XAA8812,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:07+00:00,-86.9896,41.4083,2788.92,False,139.05,310.35,-7.48,,2834.64,3213,False,0,9150.0,311.05,In Air,2026-07-22 17:18:27.830342+00:00
e8027d,LPE2227,Chile,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-79.0508,-8.9683,5036.82,False,186.82,333.15,-11.38,,5387.34,,False,0,16525.0,417.91,In Air,2026-07-22 17:18:27.830342+00:00
801638,AXB5961,India,2026-07-22 17:18:05+00:00,2026-07-22 17:18:06+00:00,76.4121,28.6175,2971.8,False,133.29,286.83,-3.25,,3017.52,,False,0,9750.0,298.16,In Air,2026-07-22 17:18:27.830342+00:00
a7250f,N56FA,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:06+00:00,-118.2413,34.1317,548.64,False,51.53,121.94,0.33,,548.64,,False,0,1800.0,115.27,In Air,2026-07-22 17:18:27.830342+00:00
39de4b,TVF8603,France,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,9.6652,43.1765,11574.78,False,205.22,328.74,0.0,,12131.04,6161,False,0,37975.0,459.06,In Air,2026-07-22 17:18:27.830342+00:00
39de4a,TVF26SK,France,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,20.8642,39.1694,11597.64,False,213.2,307.45,0.0,,12245.34,2075,False,0,38050.0,476.92,In Air,2026-07-22 17:18:27.830342+00:00
a09288,FFL1811,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-84.5065,39.5616,11582.4,False,199.41,266.75,0.98,,12176.76,2575,False,0,38000.0,446.07,In Air,2026-07-22 17:18:27.830342+00:00
500493,T7NYDJ,San Marino,2026-07-22 17:17:57+00:00,2026-07-22 17:17:57+00:00,30.5146,30.9007,13106.4,False,255.09,316.55,-0.33,,14036.04,0536,False,0,43000.0,570.62,In Air,2026-07-22 17:18:27.830342+00:00
39de58,TVF8939,France,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,8.0973,44.834,11590.02,False,211.81,331.26,0.0,,12092.94,6160,False,0,38025.0,473.81,In Air,2026-07-22 17:18:27.830342+00:00
ab6fdd,AAL871,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:06+00:00,-83.8222,20.5651,10668.0,False,240.33,227.6,0.0,,11330.94,,False,0,35000.0,537.6,In Air,2026-07-22 17:18:27.830342+00:00
a5953a,TRF559,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-96.0043,30.3012,419.1,False,53.22,330.46,-0.65,,381.0,1200,False,0,1375.0,119.05,In Air,2026-07-22 17:18:27.830342+00:00
c07d20,JZA535,Canada,2026-07-22 17:17:31+00:00,2026-07-22 17:17:31+00:00,-73.8658,40.7736,,True,0.0,42.19,,,,,False,0,,0.0,On Ground,2026-07-22 17:18:27.830342+00:00
3cf0b8,PTN92N,Germany,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-4.648,36.7499,716.28,False,91.12,117.58,-4.55,,830.58,4414,False,0,2350.0,203.83,In Air,2026-07-22 17:18:27.830342+00:00
39de53,TVF8099,France,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,8.8435,44.0166,11582.4,False,198.96,329.72,0.33,,12115.8,6162,False,0,38000.0,445.06,In Air,2026-07-22 17:18:27.830342+00:00
39de55,TVF4335,France,2026-07-22 17:18:06+00:00,2026-07-22 17:18:07+00:00,2.2614,48.7003,289.56,False,69.96,61.93,-3.25,,419.1,3304,False,0,950.0,156.5,In Air,2026-07-22 17:18:27.830342+00:00
a4620d,N3815E,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:07+00:00,-88.965,41.9552,1173.48,False,73.64,7.22,-0.33,,1196.34,,False,0,3850.0,164.73,In Air,2026-07-22 17:18:27.830342+00:00
a0e278,N156WL,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-97.6793,43.856,7924.8,False,105.74,237.32,0.0,,8374.38,,False,0,26000.0,236.53,In Air,2026-07-22 17:18:27.830342+00:00
80163d,,India,2026-07-22 17:17:01+00:00,2026-07-22 17:17:01+00:00,77.0501,28.5753,510.54,False,63.26,104.6,-2.93,,381.0,,False,0,1675.0,141.51,In Air,2026-07-22 17:18:27.830342+00:00
a27bf2,N25948,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-87.2261,39.3937,670.56,False,52.27,151.16,-0.98,,693.42,,False,0,2200.0,116.92,In Air,2026-07-22 17:18:27.830342+00:00
801647,IGO646W,India,2026-07-22 17:18:05+00:00,2026-07-22 17:18:05+00:00,72.9605,19.09,541.02,False,62.77,269.06,-2.93,,434.34,,False,0,1775.0,140.41,In Air,2026-07-22 17:18:27.830342+00:00
a5f848,N484JL,United States,2026-07-22 17:17:51+00:00,2026-07-22 17:17:55+00:00,-87.4155,36.6191,182.88,False,15.19,331.7,-0.65,,167.64,,False,0,600.0,33.98,In Air,2026-07-22 17:18:27.830342+00:00
801648,IGO063,India,2026-07-22 17:18:06+00:00,2026-07-22 17:18:07+00:00,76.8365,28.1397,4686.3,False,191.55,219.33,4.23,,4869.18,,False,0,15375.0,428.49,In Air,2026-07-22 17:18:27.830342+00:00
acdfa5,N929AM,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-73.4251,42.6651,3101.34,False,68.84,286.95,0.0,,3116.58,7176,False,0,10175.0,153.99,In Air,2026-07-22 17:18:27.830342+00:00
acdfa6,AAL763,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:06+00:00,-90.6554,34.773,10668.0,False,233.22,29.9,0.0,,11407.14,2411,False,0,35000.0,521.7,In Air,2026-07-22 17:18:27.830342+00:00
ac4963,DAL1730,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:08+00:00,-89.5017,38.5969,10363.2,False,217.75,329.31,0.0,,10995.66,1721,False,0,34000.0,487.09,In Air,2026-07-22 17:18:27.830342+00:00
a3b88e,AAL3088,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-89.7877,35.2328,11277.6,False,232.54,36.36,0.0,,12031.98,1042,False,0,37000.0,520.18,In Air,2026-07-22 17:18:27.830342+00:00
aae316,AAL1831,United States,2026-07-22 17:18:03+00:00,2026-07-22 17:18:03+00:00,-112.0038,33.4368,,True,3.6,180.0,,,,,False,0,,8.05,On Ground,2026-07-22 17:18:27.830342+00:00
a36898,DAL1946,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:06+00:00,-84.413,33.6366,,True,7.2,90.0,,,,,False,0,,16.11,On Ground,2026-07-22 17:18:27.830342+00:00
acdfa3,ASA41,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:08+00:00,-75.5313,40.1175,7696.2,False,202.36,263.72,5.53,,8001.0,2322,False,0,25250.0,452.67,In Air,2026-07-22 17:18:27.830342+00:00
407a20,GETET,United Kingdom,2026-07-22 17:18:08+00:00,2026-07-22 17:18:08+00:00,-1.3838,51.8572,1455.42,False,67.89,186.96,7.8,,1623.06,6335,False,0,4775.0,151.87,In Air,2026-07-22 17:18:27.830342+00:00
00b22f,SAA578,South Africa,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,29.7338,-27.858,10972.8,False,187.91,326.05,0.0,,11513.82,,False,0,36000.0,420.34,In Air,2026-07-22 17:18:27.830342+00:00
ad6966,N963XP,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-84.4889,33.8525,1866.9,False,138.34,83.17,11.7,,1965.96,,False,0,6125.0,309.46,In Air,2026-07-22 17:18:27.830342+00:00
801616,IGO771C,India,2026-07-22 17:18:05+00:00,2026-07-22 17:18:05+00:00,72.7047,18.8726,4175.76,False,185.8,160.76,6.5,,4076.7,,False,0,13700.0,415.62,In Air,2026-07-22 17:18:27.830342+00:00
a23563,N241TD,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-116.6982,32.9401,1859.28,False,43.52,298.99,0.33,,1950.72,1200,False,0,6100.0,97.35,In Air,2026-07-22 17:18:27.830342+00:00
abacb6,SCX384,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:07+00:00,-85.9079,34.1736,10972.8,False,222.07,329.51,0.0,,11696.7,0626,False,0,36000.0,496.76,In Air,2026-07-22 17:18:27.830342+00:00
a1befc,UAL3927,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-104.6871,39.8694,1546.86,False,71.0,0.42,-0.33,,1623.06,,False,0,5075.0,158.82,In Air,2026-07-22 17:18:27.830342+00:00
a6aecd,N53HK,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-116.4802,43.5883,1798.32,False,100.18,7.67,-0.98,,1874.52,,False,0,5900.0,224.1,In Air,2026-07-22 17:18:27.830342+00:00
801621,IGO6479,India,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,77.1841,28.5682,1120.14,False,120.43,91.71,9.1,,1028.7,,False,0,3675.0,269.39,In Air,2026-07-22 17:18:27.830342+00:00
80160f,IGO2013,India,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,77.1775,28.296,3840.48,False,181.92,213.47,9.75,,3939.54,,False,0,12600.0,406.94,In Air,2026-07-22 17:18:27.830342+00:00
ab5ce4,N831JL,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-111.8688,41.7652,1546.86,False,46.61,132.32,-2.6,,1615.44,,False,0,5075.0,104.26,In Air,2026-07-22 17:18:27.830342+00:00
a5e550,N4793F,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:07+00:00,-122.5114,47.7423,914.4,False,55.68,183.71,-0.33,,914.4,1200,False,0,3000.0,124.55,In Air,2026-07-22 17:18:27.830342+00:00
a2356a,N241TL,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-118.2883,34.1712,1737.36,False,74.89,185.12,-4.88,,1821.18,4657,False,0,5700.0,167.52,In Air,2026-07-22 17:18:27.830342+00:00
ad5623,AAL2439,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-81.7615,34.4518,10972.8,False,236.47,204.28,0.0,,11681.46,6651,False,0,36000.0,528.97,In Air,2026-07-22 17:18:27.830342+00:00
801627,AXB1379,India,2026-07-22 17:15:12+00:00,2026-07-22 17:15:12+00:00,77.7624,13.1891,1089.66,False,65.85,270.45,-3.25,,1043.94,,False,0,3575.0,147.3,In Air,2026-07-22 17:18:27.830342+00:00
801626,AXB5975,India,2026-07-22 17:18:06+00:00,2026-07-22 17:18:07+00:00,76.8497,27.5309,7330.44,False,223.73,201.73,4.88,,7764.78,,False,0,24050.0,500.47,In Air,2026-07-22 17:18:27.830342+00:00
a89eb9,N65453,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-93.2342,45.2514,792.48,False,49.52,175.83,-0.98,,830.58,,False,0,2600.0,110.77,In Air,2026-07-22 17:18:27.830342+00:00
ac7cd5,N9031J,United States,2026-07-22 17:18:06+00:00,2026-07-22 17:18:06+00:00,-93.3725,44.4737,861.06,False,59.52,284.52,-0.33,,914.4,,False,0,2825.0,133.14,In Air,2026-07-22 17:18:27.830342+00:00
acdfab,DAL1060,United States,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,-95.7063,36.8047,9243.06,False,235.98,290.02,-3.9,,9906.0,4162,False,0,30325.0,527.87,In Air,2026-07-22 17:18:27.830342+00:00
39de46,TVF87TP,France,2026-07-22 17:18:06+00:00,2026-07-22 17:18:06+00:00,-8.4078,35.705,11574.78,False,244.85,16.23,0.0,,12329.16,6400,False,0,37975.0,547.71,In Air,2026-07-22 17:18:27.830342+00:00
39de45,TVF54ZU,France,2026-07-22 17:18:07+00:00,2026-07-22 17:18:07+00:00,10.7758,44.9317,11582.4,False,201.61,301.54,-0.33,,12062.46,5537,False,0,38000.0,450.99,In Air,2026-07-22 17:18:27.830342+00:00
